title,authors,isbn13,# num_pages,average_rating,ratings_count,text_reviews_count,book_rating_count,book_review_count,clusters
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,9780345453747,815,4.38,240189,3954,252980,4679,4
Bill Bryson's African Diary,Bill Bryson,9780767915069,55,3.43,6993,470,7699,508,7
In a Sunburned Country,Bill Bryson,9780767903868,335,4.07,68213,4077,75175,4854,4
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,9780767903820,304,3.9,47490,2153,52261,2564,2
The Lost Continent: Travels in Small Town America,Bill Bryson,9780060920081,299,3.83,43779,2146,45386,2356,2
Neither Here nor There: Travels in Europe,Bill Bryson,9780380713806,254,3.87,46397,2127,49549,2453,2
Notes from a Small Island,Bill Bryson,9780380727506,324,3.92,76476,3159,80677,3675,2
The Mother Tongue: English and How It Got That Way,Bill Bryson,9780380715435,270,3.94,26672,1986,29565,2242,2
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,9780345538376,1728,4.59,97731,1536,99793,1652,4
Hatchet,Gary Paulsen,9780689840920,208,3.7,254827,11346,259170,12005,7
The Changeling Sea,Patricia A. McKillip,9780141312620,137,4.07,4319,289,4526,330,4
The Changeling,Zilpha Keatley Snyder,9780595321803,228,4.17,1155,92,1310,118,4
The Known World,Edward P. Jones,9780061159176,388,3.83,28962,2576,31607,2976,2
The Known World,Edward P. Jones,9780060749910,576,3.83,22,3,31607,2976,2
The Known World,Edward P. Jones,9780965136716,388,3.83,15,2,31607,2976,2
Annals of the Former World,John McPhee,9780374518738,720,4.33,2966,211,3134,220,4
Tolstoy: Anna Karenina,Anthony Thorlby,9780521313254,128,4.19,1191,32,1179,31,4
The Untouchable,John Banville,9780679767473,367,3.96,2077,209,2415,261,2
I am Charlotte Simmons,Tom Wolfe,9780312424442,738,3.41,20508,1686,22727,1973,7
Quiet Days in Clichy,Henry Miller,9780802130167,154,3.69,3237,134,3735,205,7
Tropic of Capricorn,Henry Miller,9780802151827,348,3.82,13549,448,14627,584,2
The Air-Conditioned Nightmare,Henry Miller,9780811201063,292,3.83,2627,142,2724,162,2
Treasure Island,Robert Louis Stevenson,9780753453803,311,3.83,301399,6160,344305,9084,6
Treasure Island,Robert Louis Stevenson,9781416500292,245,3.83,5900,270,344305,9084,2
Jitterbug Perfume,Tom Robbins,9780553348989,352,4.24,4157,393,59317,3291,4
The Door Into Summer,Robert A. Heinlein,9780345413994,304,4.01,16743,617,19589,933,2
The Moon is a Harsh Mistress,Robert A. Heinlein,9780312863555,382,4.17,3667,416,94153,3181,4
Stranger in a Strange Land,Robert A. Heinlein,9780441788385,528,3.92,241727,5985,246528,6960,2
To Sail Beyond the Sunset,Robert A. Heinlein,9780441748600,434,3.87,10140,187,10263,196,2
Job: A Comedy of Justice,Robert A. Heinlein,9780345316509,439,3.78,15580,422,15693,448,2
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,9780345476517,368,4.14,2548,47,2586,60,4
On Bullshit,Harry G. Frankfurt,9780691122946,67,3.57,8773,937,8972,956,7
Another Bullshit Night in Suck City,Nick Flynn,9780393329407,347,3.78,9053,907,9478,944,2
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,9780671867423,317,4.13,119,14,6716,223,4
Underworld,Don DeLillo,9780684848150,827,3.92,1471,170,24150,1723,2
Libra,Don DeLillo,9780140156041,480,3.99,11361,533,12464,704,2
Mao II,Don DeLillo,9780140152746,254,3.68,8085,411,8770,498,7
Americana,Don DeLillo,9780140119480,377,3.43,367,54,4286,333,7
Cosmopolis,Don DeLillo,9780743244251,224,3.22,449,40,13450,1230,7
The Names,Don DeLillo,9780679722953,339,3.64,2990,201,3366,257,7
Against the Day,Thomas Pynchon,9781594201202,1085,4.12,5110,577,5820,734,4
